"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Switzerland","Europe","2022-12-01 00:00:00+05:30","8740471","6095058","6531","2430.54","1055.79","-1374.75"
"Syria","Asia","2021-12-01 00:00:00+05:30","22125242","1002945","276","6.45","175.55","169.10"
"Taiwan","Asia","2021-10-01 00:00:00+05:30","23893396","18436686",NULL,NULL,NULL,NULL
"Taiwan","Asia","2021-11-01 00:00:00+05:30","23893396","17744846",NULL,NULL,NULL,NULL
"Taiwan","Asia","2021-12-01 00:00:00+05:30","23893396","18472049",NULL,NULL,NULL,NULL
"Taiwan","Asia","2022-10-01 00:00:00+05:30","23893396","21787792",NULL,NULL,NULL,NULL
"Taiwan","Asia","2022-11-01 00:00:00+05:30","23893396","21815630",NULL,NULL,NULL,NULL
"Taiwan","Asia","2022-12-01 00:00:00+05:30","23893396","21816269",NULL,NULL,NULL,NULL
"Tajikistan","Asia","2021-10-01 00:00:00+05:30","9952789","2513950","0","0.00","0.00","0.00"
"Tanzania","Africa","2022-11-01 00:00:00+05:30","65497752","31191545","0","0.00","0.00","0.00"
"Thailand","Asia","2021-10-01 00:00:00+05:30","71697024","50088788","10817","4164.65","3164.68","-999.97"
"Thailand","Asia","2021-11-01 00:00:00+05:30","71697024","50107715","10035","4141.15","3062.18","-1078.97"
"Thailand","Asia","2021-12-01 00:00:00+05:30","71697024","50120675","9445","3961.49","2884.18","-1077.32"
"Timor","Asia","2021-12-01 00:00:00+05:30","1341298","495822","6","2.22","3.78","1.56"
"Timor","Asia","2022-11-01 00:00:00+05:30","1341298","856259","0","0.00","0.00","0.00"
"Togo","Africa","2021-10-01 00:00:00+05:30","8848700","1349188","7","1.07","5.93","4.87"
"Togo","Africa","2021-12-01 00:00:00+05:30","8848700","971322","12","1.32","10.68","9.37"
"Tokelau","Oceania","2021-12-01 00:00:00+05:30","1893","968","0","0.00","0.00","0.00"
"Trinidad and Tobago","North America","2021-10-01 00:00:00+05:30","1531043","697645","881","210.14","262.86","52.72"
"Trinidad and Tobago","North America","2021-11-01 00:00:00+05:30","1531043","698473","857","204.16","255.51","51.35"
"Trinidad and Tobago","North America","2021-12-01 00:00:00+05:30","1531043","698861","898","245.12","307.54","62.42"
"Tunisia","Africa","2021-10-01 00:00:00+05:30","12356116","6257611","1924","349.24","399.09","49.84"
"Tunisia","Africa","2021-11-01 00:00:00+05:30","12356116","6275922","241","87.69","98.31","10.63"
"Tunisia","Africa","2021-12-01 00:00:00+05:30","12356116","6292703","187","50.89","53.11","2.22"
"Tunisia","Africa","2022-11-01 00:00:00+05:30","12356116","7208922","0","0.00","0.00","0.00"
"Turkey","Asia","2021-10-01 00:00:00+05:30","85341248","56494740","28662","16682.24","8985.43","-7696.81"
"Turkey","Asia","2021-11-01 00:00:00+05:30","85341248","56507792","28370","16079.60","8650.40","-7429.21"
"Turkey","Asia","2021-12-01 00:00:00+05:30","85341248","56517947","30563","16197.30","8708.03","-7489.27"
"Turkey","Asia","2022-10-01 00:00:00+05:30","85341248","57931293","0","0.00","0.00","0.00"
"Turkey","Asia","2022-11-01 00:00:00+05:30","85341248","57931643","0","0.00","0.00","0.00"
"Uganda","Africa","2021-10-01 00:00:00+05:30","47249588","3483212","49","3.61","45.39","41.78"
"Ukraine","Europe","2021-10-01 00:00:00+05:30","39701744","14087749","23283","4374.17","10943.83","6569.65"
"Ukraine","Europe","2021-11-01 00:00:00+05:30","39701744","14114892","24747","4255.47","10315.20","6059.73"
"Ukraine","Europe","2021-12-01 00:00:00+05:30","39701744","14131443","24058","3848.71","9927.62","6078.91"
"United Arab Emirates","Asia","2021-10-01 00:00:00+05:30","9441138","9771891","146","110.29","-1.29","-111.59"
"United Arab Emirates","Asia","2021-11-01 00:00:00+05:30","9441138","9781611","75","77.70","-2.70","-80.41"
"United Arab Emirates","Asia","2021-12-01 00:00:00+05:30","9441138","9781743","82","84.96","-2.96","-87.92"
"United Kingdom","Europe","2021-10-01 00:00:00+05:30","67508936","51229559","58827","34522.19","11665.81","-22856.37"
"United Kingdom","Europe","2021-11-01 00:00:00+05:30","67508936","51255850","56994","32807.13","11041.54","-21765.59"
"United Kingdom","Europe","2021-12-01 00:00:00+05:30","67508936","51279167","52491","32860.23","11090.10","-21770.13"
"United States","North America","2021-10-01 00:00:00+05:30","338289856","237618987","129708","79527.27","38672.73","-40854.54"
"United States","North America","2021-11-01 00:00:00+05:30","338289856","237880729","137431","65848.28","31119.39","-34728.89"
"United States","North America","2021-12-01 00:00:00+05:30","338289856","238029700","135573","65324.31","30599.35","-34724.96"
"United States","North America","2022-10-01 00:00:00+05:30","338289856","267914489","11333","2958.90","818.77","-2140.13"
"United States","North America","2022-11-01 00:00:00+05:30","338289856","267930466","282897","77834.99","20870.67","-56964.32"
"United States","North America","2022-12-01 00:00:00+05:30","338289856","267971630","24419","6378.89","1760.77","-4618.12"
"Uruguay","South America","2021-10-01 00:00:00+05:30","3422796","2749549","300","159.29","40.04","-119.25"
"Uruguay","South America","2021-11-01 00:00:00+05:30","3422796","2749556","257","153.23","38.43","-114.80"
"Uruguay","South America","2021-12-01 00:00:00+05:30","3422796","2749561","252","146.67","36.66","-110.01"
"Uruguay","South America","2022-10-01 00:00:00+05:30","3422796","3005262","0","0.00","0.00","0.00"
"Uruguay","South America","2022-11-01 00:00:00+05:30","3422796","3004700","0","0.00","0.00","0.00"
"Uruguay","South America","2022-12-01 00:00:00+05:30","3422796","3005288","0","0.00","0.00","0.00"
"Uzbekistan","Asia","2021-10-01 00:00:00+05:30","34627648","14834189","221","94.67","126.33","31.65"
"Uzbekistan","Asia","2021-11-01 00:00:00+05:30","34627648","15021836","273","118.43","154.57","36.14"
"Uzbekistan","Asia","2021-12-01 00:00:00+05:30","34627648","15199786","294","129.05","164.95","35.90"
"Uzbekistan","Asia","2022-11-01 00:00:00+05:30","34627648","21283789","120","73.76","46.24","-27.52"
"Vanuatu","Oceania","2021-12-01 00:00:00+05:30","326744","59215","0","0.00","0.00","0.00"
"Vietnam","Asia","2021-10-01 00:00:00+05:30","98186856","74713350","14839","6340.96","2842.54","-3498.43"
"Vietnam","Asia","2021-11-01 00:00:00+05:30","98186856","74832161","16141","6345.38","2961.95","-3383.43"
"Vietnam","Asia","2021-12-01 00:00:00+05:30","98186856","74907297","14638","6075.09","2781.24","-3293.85"
"Wales","Europe","2021-10-01 00:00:00+05:30","3170000","2475102",NULL,NULL,NULL,NULL
